News,Label
LIC Housing Finance Ltd. shares rise 1.14% as Nifty gains,1.0
Shares of ICICI Lombard General Insurance Company Ltd. rise as Nifty gains,1.0
Share price of Siemens Ltd. falls as Nifty strengthens,1.0
TVS Motor Company Ltd. shares rise 0.65% as Nifty gains,1.0
Shares of Info Edge (India) Ltd. fall as Nifty gains,0.0
Shree Cements Ltd. shares rise 0.28% as Nifty gains,1.0
Aurobindo Pharma Ltd. shares up 1.12% as Nifty gains,1.0
GAIL (India) Ltd. shares up 0.49% as Nifty gains,1.0
Share price of Page Industries Ltd. rises as Nifty strengthens,1.0
Indraprastha Gas Ltd. shares up 2.53% as Nifty gains,1.0
"Sensex rises 150 points, Nifty tops 15,150; Infosys gains 1%",1.0
 Nifty up 20 points; here's what changed for market while you were sleeping,1.0
"Nifty closes above 15,000 but may face bumps ahead",0.0
Trade Setup: Nifty looks overstretched; use upmoves to book profits in high beta stocks,1.0
Tech View: Higher high-low & bullish candle show Nifty on a strong footing,1.0
"F&O: Nifty setup remains bullish, but a higher VIX remains a worry",1.0
"Markets rise for sixth straight day to hit fresh peaks, Sensex rallies 617 pts; Nifty ends above 15,100",1.0
"Nifty at 15,000 at 4% interest rate equals 13,000 at 8% rate: Porinju Veliyath",1.0
"Sensex hit fresh high of 51,280; Nifty above 15,050",1.0
 Nifty up 95 points; here's what changed for market while you were sleeping,1.0
Traders track put-call ratio to get an idea of Nifty’s move beyond 15K,1.0
"Nifty could top 15,500 on FPI flows; small & midcaps to shine",1.0
Trade Setup: Nifty prone to correction; volatility likely to shoot up,0.0
Tweet Buster: How to beat Nifty with Nifty stocks? Porinju's new favourite,1.0
Dalal Street week ahead: Nifty bound to consolidate now; stay aside for a while,1.0
Q3 earnings: The scorecard of Nifty companies so far,1.0
"Nifty touches 15,000 for first time but fails to hold on",0.0
Tech View: Nifty forms Doji on daily charts. Does it signal a pause ahead?,1.0
F&O: Nifty forms higher highs & lows for fifth session; but VIX seeing a rise,1.0
"Sensex fails to hold Mt 51K, ends 117 pts higher; Nifty below 14,950",1.0
"Sensex climbs to 51,000 mark, Nifty tops Mt 15K: Key factors behind market rally",1.0
"Sensex touches 51,000 for first time, rises over 400 points; Nifty tops 15,000",1.0
 Nifty up 50 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Nifty may face massive resistance near 15K; upside seems limited,0.0
"Tech View: Nifty50 eyes Mt 15K now, but warrants lot of caution",0.0
"F&O: Bullish Nifty lifts trading range to 14,500-15,200 zone",1.0
"Sensex rallies another 359 points, Nifty tad below 14,900",1.0
"Profit-booking pushes Sensex, Nifty off record peaks; broader indices buck trend",1.0
"Nifty may be fatigued; but ITC, Airtel among 190 names set to go higher",1.0
Stock market news: YES Bank shares up 1.23% as Nifty drops,0.0
"Sensex loses 150 points, Nifty slips below 14,750; IndusInd Bank down 2%",0.0
 Nifty up 10 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Nifty prone to profit taking bouts near 15K; stay stock specific,0.0
"Tech View: Nifty forms Hanging Man, looks poised to slow down",0.0
"Sensex ends above 50K for first time, gains 458 pts, Nifty tops 14,750; pharma, financial stocks rally",1.0
Stock market news: RIL shares up 0.27% as Nifty gains,1.0
Stock market news: Bharti Airtel shares climb 2.71% as Nifty gains,1.0
"Sensex rises over 100 points, Nifty near 14,700; Dr Reddy's Labs jumps",1.0
 Nifty up 50 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: 14,750 level crucial for Nifty; watch Dollar Index",0.0
"Tech View: Nifty forms big bullish candle; 14,750 level crucial now for further gains",1.0
"F&O: Options suggest Nifty range at 14,300-15,000; VIX remains high",1.0
"Budget euphoria continues, Sensex soars 1197 pts, Nifty tops 14,600; Tata Motors rallies 17%",1.0
"Budget euphoria continues: Sensex jumps over 1,000 points, Nifty above 14,600",1.0
"Sensex jumps 750 points, Nifty50 nears 14,500; L&T climbs 4%",1.0
 Nifty up 100 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: 14,250-14,300 crucial for Nifty, defensive stocks may catch up",0.0
Tech View: Nifty forms Long White candle; analysts say buy on dips,1.0
"F&O: Nifty trading range shifts to 13,800-14,700, as VIX declines 8%",0.0
"Budget 2021 cheers Markets, Sensex rallies over 1,700 pts; Nifty reclaims 14K",1.0
"Sensex gains 400 points ahead of Budget 2021; Nifty reclaims 13,700",1.0
 Nifty up 15 points; here's what changed for market while you were sleeping,1.0
"Tech Views: 13,800 is the make-or-break level for Nifty",1.0
Traders bet on a 3% swing in Nifty on Budget day,1.0
Dalal Street Week Ahead: How Nifty might behave on Budget Day & beyond,1.0
Tech View: Nifty50 forms Long Bearish Candle; dashes hope of rapid recovery,0.0
"Sensex tanks 589 points as Economic Survey fails to cheer investors; Nifty ends below 13,650",0.0
"Sensex gains 450 points, Nifty50 tops 13,950; IndusInd Bank rises 4%",1.0
 Nifty up 130 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Mild technical pullback likely but upside seems limited for Nifty,0.0
Tech View: Doji candle on Nifty chart after a steep fall raises rebound hope,1.0
"Market plunges for 5th straight session, Sensex tanks 536 pts; Nifty ends Jan F&O series at 13,818",0.0
"Sensex loses 400 points; Nifty below 13,850; Sun Pharma drops 2%",0.0
 Nifty down 110 points; here's what changed for market while you were sleeping,0.0
"Trade Setup: 14,000 inflection point for Nifty; stick to defensive stocks",0.0
"After 5% fall in 4 days, will Nifty stage a sharp rebound before Budget?",0.0
"Tech View: Nifty forms Bearish Belt Hold, tests the crucial 34-day EMA",0.0
"Sensex crashes 938 pts; Nifty ends below 14K ahead of F&O expiry; IndusInd Bank, Titan tank 4% each",0.0
"Sensex plunges over 1000 points, Nifty breaks below 14,000 mark",0.0
"Sensex loses 200 points, Nifty below 14,200; RIL drops 2%",0.0
 Nifty up 110 points; here's what changed for market while you were sleeping,1.0
"Day trading guide: Nifty’s declines may extend to 14,080-13,900 levels if it fails to hold above 14,200",0.0
"F&O: Rising VIX not a good sign; Nifty range seen at 14,000-14,600",1.0
"Sensex tumbles 531 pts, Nifty below 14,250; RIL plunges over 5%",0.0
"Sensex sheds 120 points on good Q3 show; Nifty near 14,262",1.0
"Sensex rises 300 points, Nifty nears 14,500; RIL drops 3%",1.0
 Nifty up 110 points; here's what changed for market while you were sleeping,1.0
"Nifty likely to be rangebound at 14,200-14,300",0.0
Trade Setup: Nifty may stay in a broad consolidation range; volatility likely to inch higher,0.0
Should you go long or short on Nifty over next 30 days?,1.0
Technical View: Nifty50 selling at high levels makes analysts cautious,1.0
"F&O: Doji on Nifty charts, rising VIX signal market’s bearish bias",1.0
"Sensex closes 746 points lower, Nifty gives up 14,400 amid global selloff",0.0
"Sensex plunges 746 points to 48,879, Nifty at 14,372",0.0
"Sensex drops 150 points, Nifty below 14,550; Bajaj Auto gains 3%",0.0
 Nifty down 30 points; here's what changed for market while you were sleeping,0.0
"Nifty could test upper end of 14,423-14,977 range by Jan 28",1.0
"Mid & small caps may outshine large-cap stocks this year, too",1.0
"Tech View: Nifty forms Dark Cloud Cover; support seen at 14,500 level",1.0
F&O: Higher tops and bottoms signal Nifty remains in a bullish setup,1.0
"Sensex gives up 50K, falls 167 pts on profit-booking; Nifty slips below 14,600",0.0
"Sensex closes 167 points lower, Nifty drops below 14,600 on report of fire in vaccine facility",0.0
"Sensex rises 200 points, hits 50K-mark for first time; Nifty tops 14,700",1.0
 Nifty up 60 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Nifty’s behavior against 14,650 crucial; undercurrent strong",1.0
Tech View: Nifty's back-to-back bullish candles suggest a bottom is in place,1.0
"F&O: Nifty forms higher tops, bottoms for a second straight session in solid bullish signal",1.0
"Sensex rises 394 points, Nifty at 14,645 as market clocks record closing highs",1.0
"Sensex, Nifty soar to record highs amid global rally; auto, IT stocks rally",1.0
"Sensex adds 200 points as short covering continues, Nifty near 14,600",1.0
"Sensex gains 100 pts, Nifty above 14,550; Tata Comm tanks 5%",1.0
 Nifty down 80 points; here's what changed for market while you were sleeping,0.0
"Trade Setup: ​Nifty may find strong support at 14,400; avoid shorts",1.0
"Tech View: Nifty bulls come roaring, eyes 14,560 level",1.0
F&O: Nifty negates lower tops & bottoms to give bullish vibes,0.0
"Sensex rallies 834 pts, logs best single-day gain in 4 months; Nifty reclaims 14,500 level",1.0
PI Industries Ltd. shares up 0.64% as Nifty gains,1.0
Share price of Biocon Ltd. rises as Nifty strengthens,1.0
TVS Motor Company Ltd. shares up 2.36% as Nifty gains,1.0
Shares of MRF Ltd. rise as Nifty gains,1.0
Crompton Greaves Consumer Electricals Ltd. shares up 1.58% as Nifty gains,1.0
Indian Oil Corporation Ltd. shares up 1.99% as Nifty gains,1.0
Share price of GAIL (India) Ltd. rises as Nifty strengthens,1.0
Indraprastha Gas Ltd. shares up 1.8% as Nifty gains,1.0
Shares of Federal Bank Ltd. rise as Nifty gains,1.0
Tata Power Company Ltd. shares up 1.58% as Nifty gains,1.0
Zee Entertainment Enterprises Ltd. shares up 1.74% as Nifty gains,1.0
Share price of Adani Green Energy Ltd. rises as Nifty strengthens,1.0
Siemens Ltd. shares rise 2.76% as Nifty gains,1.0
LIC Housing Finance Ltd. shares up 3.03% as Nifty gains,1.0
REC Ltd. shares up 4.11% as Nifty gains,1.0
Shares of DLF Ltd. rise as Nifty gains,1.0
"Sensex rises 300 points, Nifty above 14,380; ONGC gains 2%",1.0
 Nifty up 90 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: 14,653 intermediate top for Nifty; mild technical pullback possible",0.0
"F&O: Nifty may weaken towards 14,200; VIX needs to cool down below 20",0.0
"Tech View: Nifty50 forms big bearish candle, market may move southward",0.0
"Sensex ends 470 points down, Nifty below 14,300; SAIL plunges 6%",0.0
"Sensex drops 250 points as profit booking continues; Nifty below 14,350",0.0
"Sensex sheds over 100 pts, Nifty falls below 14,400; HDFC Bank gains on upbeat earnings",0.0
 Nifty down 60 points; here's what changed for market while you were sleeping,0.0
"Nifty upside may be restricted to 14,600-14,700",0.0
Trade Setup: Nifty showing clear signs of broad-ranged consolidation; remain cautious,0.0
"Dalal Street week ahead: Nifty50 is now over-extended, may slip into consolidation",0.0
"Tech View: Nifty forms Dragonfly Doji on weekly scale, signals trend reversal",0.0
F&O: Nifty negates higher lows; rising VIX adds to bearishness,1.0
"Sensex tanks 549 pts on selling across the board; Nifty slips below 14,450; TechM, HCL Tech drop up to 4%",0.0
"Day trading guide: 14,617 may act as immediate hurdle for Nifty",0.0
75% of PMS fund managers failed to beat Nifty in Dec; even biggies falter,1.0
"Sensex gains 45 points, Nifty above 14,600; Bharti Airtel rises 5%",1.0
 Nifty down 40 points; here's what changed for market while you were sleeping,0.0
"Trade Setup: Nifty's decline below 14,500 may trigger consolidation; stay stock-specific",0.0
"Tech View: Nifty50 negates higher highs, but forms bearish Inside Bar",1.0
"F&O: Nifty50 forms higher lows again, but negates higher highs",1.0
"Day trading guide: Bank Nifty could attract profit booking if it fails to hold 32,500",0.0
"Sensex gains 92 pts to end at fresh record high; Nifty nears 14,600; TCS, RIL rally",1.0
"Sensex rises 92 points, Nifty at 14,596 as markets hit record closing highs",1.0
"Sensex drops 140 points as traders book profits; Nifty holds above 14,500",0.0
"Sensex loses over 200 points, Nifty slips below 14,500; HAL rises 14%",0.0
 Nifty up 30 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Nifty’s behaviour against 14,500 crucial; dips likely to get bought",0.0
"Tech View: Nifty50 sends signs of weakness; 14,367 a key support",0.0
F&O: Nifty’s bullish undertone intact; but rising VIX is a worry,1.0
"Sensex gyrates 721 points, ends 25 pts lower; Nifty holds above 14,550; M&M gains 6%, SBI 5%",1.0
Stock market update: Nifty Auto index gains over 1%; M&M rallies 7%,1.0
"RIL no more king, loses crown of top weighted Nifty50 stock",0.0
"Sensex rises over 250 points, Nifty tops 14,600; Airtel jumps 6%",1.0
 Nifty up 25 points; here's what changed for market while you were sleeping,1.0
"Nifty crosses 14,500; RIL, HDFC Bank lead gains",1.0
"Trade Setup: 14,475-14,500 level crucial for Nifty to maintain buoyancy",0.0
Tech View: Nifty50 forms a bullish candle; risk takers can buy the dips,0.0
"F&O: Nifty setup still looks pretty bullish, but rising VIX is a concern",1.0
"Sensex ends 248 pts higher; Nifty ends above 14,550; JSW Energy surges 12%, J&K Bank 10%",1.0
Share price of Berger Paints (India) Ltd. rises as Nifty strengthens,1.0
Stock market update: Nifty Pharma index slips 1%; Divi's Lab sheds 2%,0.0
Stock market update: Nifty PSU Bank index gains over 2%; Canara Bank jumps 5%,1.0
Stock market update: Nifty Auto index climbs 2%; Tata Motors soars 10%,1.0
Nifty pack’s top loss maker of last 6 quarters all set to turn the corner,0.0
"Sensex loses 130 points, Nifty tests 14,450; IndusInd Bank drops 2%",0.0
 Nifty down 30 points; here's what changed for market while you were sleeping,0.0
Trade Setup: Nifty may post incremental highs; avoid high beta stocks,1.0
"F&O: Nifty trading range widens to 13,800-14,800; VIX needs to cool down",1.0
"Tech View: Nifty forms Dragonfly Doji, but charts supportive of rally",1.0
NSE launches derivatives on Nifty Financial Services Index,1.0
"Sensex rises 487 pts to close above 49k for first time, Nifty ends near 14,500; IT stocks rally",1.0
"Day trading guide: Nifty has immediate support at 14,300",1.0
Weightage of each stock in new Nifty Fin Services Index based on free-float M-cap: Ravi Varanasi,1.0
Seven Nifty firms that are likely to log over 50% jump in Q3 profit,1.0
"Sensex gains 300 points; Nifty above 14,000; Infosys rises 3%",1.0
 Nifty up 70 points; here's what changed for market while you were sleeping,1.0
"Nifty may face a hurdle at 14,500; Bank Nifty to rise",0.0
Heavy put selling hints at higher levels for Nifty,1.0
"Trade Setup: Nifty's immediate support level shifts to 14,200; undercurrent remains strong",1.0
Dalal Street week ahead: Nifty50 may turn rangebound now; stay defensive,0.0
"Day trading guide: Bank Nifty may witness profit booking if it fails to hold 32,000 level",0.0
"Tech View: Analysts cautiously optimistic as Nifty eyes 14,500",1.0
"F&O: Nifty forms higher high for 12th session; eyeing 14,500 mark",1.0
"Sensex surges 689 pts to hit fresh record high of 48,783; Nifty ends near 14,350; Maruti climbs 6%",1.0
"Sensex rises 340 points, Nifty at 14,240; IndusInd Bank gains 2%",1.0
 Nifty up 50 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Fresh upside only after Nifty crosses 14,260; undercurrent stays strong",1.0
Tech View: Nifty50 forms ‘Bearish Belt Hold’ in a negative formation,0.0
"F&O: Nifty formed higher highs, a hold above 14,000-14,050 key now",1.0
"Sensex slips 81 pts, Nifty ends below 14,150; Tata Steel rallies 5%",0.0
Nifty to see 10% annual growth in 3 years; current stock valuations fair: ABSLMF,1.0
"Sensex, Nifty end in the red for 2nd day; midcap stocks outperform",1.0
"Sensex rises 250 points amid strong global cues; Nifty trades near 14,250",1.0
"Sensex rises 300 points, Nifty at 14,230; Power Grid gains 2%",1.0
 Nifty up 70 points; here's what changed for market while you were sleeping,1.0
Options strategy on Bank Nifty for a likely new all-time high,1.0
"Trade Setup: 14,000-14,200 range crucial for Nifty; avoid high beta stocks",1.0
Tech View: Nifty50 takes a breather but bulls are still strong,1.0
F&O: Volatility needs to cool down for Nifty to continue with bullish bias,0.0
"Sensex snaps 10-day winning run, sheds 264 pts; Nifty ends below 14,150",1.0
"Day trading guide: Bank Nifty needs to sustain above 31,500 to keep near-term outlook positive",1.0
"Sensex gains 90 points, Nifty above 14,200; ONGC rises 4%",1.0
 Nifty up 25 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Nifty may swing either side within a defined range; undercurrents strong,1.0
Tech View: Nifty's bullish candle suggests bulls are in full control,1.0
"Sensex takes winning streak to 10th day, gains 261 pts, Nifty nears 14,200; Banking, IT stocks rally",1.0
"Day trading guide: Bank Nifty needs to defend 31,500 level to move above 32,000",0.0
"Sensex drops 200 points, Nifty below 14,100; ONGC sheds 2%",0.0
 Nifty down 100 points; here's what changed for market while you were sleeping,0.0
"Nifty at 15,800? Quite likely by December, says Jefferies",1.0
Trade Setup: Nifty may extend up move on Tuesday but remains vulnerable to profit taking bouts,0.0
"Tech View: Nifty forms Hanging Man, but outlook remains bullish",1.0
"Day trading guide: Bank Nifty needs to break above 31,500 to regain momentum",1.0
"Sensex rallies 308 pts to end at fresh record high, Nifty ends above 14,100; Tata Steel jumps 8%",1.0
"Jefferies says Nifty to hit 15,800 by year-end; bets on realty, financials",1.0
"Sensex hits 48,000 mark for first time, Nifty nears 14,100; MMTC jumps 7%",1.0
 Nifty up 50 points; here's what changed for market while you were sleeping,1.0
"Nifty could top 14,200-14,300 this week say tech analysts",1.0
"Trade Setup: Nifty showing no signs of a let-up; short-term support at 13,800",1.0
Dalal Street week ahead: Nifty likely to consolidate now; select pockets may perform,1.0
"Tech view: Nifty50 takes out 14K, but narrow bodies suggest pause",1.0
"F&O: Higher lows for Nifty, cooling VIX support the bull case for Nifty",1.0
"Sensex gains 118 points, Nifty ends above 14K for first time; ITC rises 2%",1.0
"Sensex gains 120 pts, Nifty tops 14,000; M&M, ONGC advance 1% each",1.0
F&O data hints Nifty in for a breather after latest high,1.0
Trade Setup: Upside looks limited for Nifty; expect lower volumes on New Year day,0.0
"Tech View: Nifty50 faces selling at 14,000, shows sign fatigue",0.0
"F&O: If Nifty holds above 13,850, it can rally towards 14,200 level",1.0
"Sensex ends 2020 on a flat note; Nifty settles at 13,982",0.0
Nifty conquers Mt 14K as bull run continues non-stop for 7th day,1.0
"Sensex sheds 100 pts, Nifty at 13,960; SBI falls 1%, ONGC gains 1%",0.0
 Nifty up 10 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Nifty prone to profit booking at current level, consolidation overdue",0.0
Tech View: Nifty forms Dragonfly Doji; analysts advise utmost caution,0.0
"Sensex gains 133 pts, Nifty ends near 14,000; cement stocks rally up to 20%",1.0
Day trading guide: Bank Nifty may consolidate to digest recent gains,1.0
Bulls maintain momentum for 6th day amid vaccine hopes; Nifty stops short of 14K,0.0
"Sensex down 90 points on weak global cues; Nifty near 13,900",0.0
"Sensex falls 40 points; Nifty tests 13,900; SBI, IndusInd Bank fall 1% each",0.0
 Nifty up 45 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Nifty unlikely to hit 14K on Wednesday amid F&O rollovers,0.0
Tech View: Nifty forms indecisive Doji as rally gets stretched,1.0
"F&O: Nifty50 has to hold above 13,800 to rally towards 14,000",1.0
"Day trading guide: Trim buy positions for Nifty near 14,000-14,050 zone",1.0
Bulls unstoppable for 5th day on Dalal Street; Nifty eyeing 14K,1.0
"Sensex rises 259 points, Nifty tops 13,900; Rupa surges 20%",1.0
"Sensex gains over 200 pts in opening session; Nifty nears 13,950",1.0
 Nifty up 55 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Nifty looks vulnerable again; resistance zone at 13,800-14,000",0.0
"Tech View: Nifty50 forms small bullish candle, eyes 14,000 level",1.0
"F&O: Options show Nifty50 trading range shifts to 13,700-14,100 zone",1.0
"Day trading guide: Sustenance above 30,500 likely to keep outlook positive for Bank Nifty",1.0
"Sensex gains 380 points, ends above 47K; Nifty tops 13,850; IB Realty jumps 9%",1.0
"Sensex, Nifty open to record highs; metal stocks shine",1.0
"Sensex rises 280 points to fresh highs; Nifty tops 13,800",1.0
 Nifty up 30 points; here's what changed for market while you were sleeping,1.0
"Nifty likely to top 14,000 in Dec if holds above 13,800",1.0
"A break above 13,777 may take Nifty to 13,924",0.0
Tech View: Long-legged Doji on Nifty’s weekly chart signals likely weakness ahead,0.0
"F&O: Nifty range shifts higher to 13,500-14,000; cooling VIX aiding bulls",1.0
"Nifty range for December at 13,471-13,929, with bias for upside",1.0
"Day trading guide: Nifty’s near-term support seen at 13,450 level",1.0
"Sensex leaps another 529 points, Nifty just a tad below 13,750; Sun Pharma, GSPL gain 3% each",1.0
"Sensex rallies over 250 pts on RIL, financials boost; Nifty tops 13,700",1.0
 Nifty up 180 points; here's what changed for market while you were sleeping,1.0
Nifty to remain in structural bull phase in 2021: ICICIdirect,1.0
Trade Setup: Nifty at upper end of broad trading range; defensive stocks to outshine,0.0
"Tech View: Nifty shows bullish bias; 13,730-13,775 level eyed",1.0
"F&O: Bulls stage a comeback; Nifty now has to hold 13,500",1.0
"Day trading guide: Nifty likely to revisit levels of 13,650-13,670",1.0
"Sensex zooms 437 pts, Nifty ends above 13,600; IT, FMCG stocks rally",1.0
Tata Consumer likely to join Nifty in March,1.0
"Nifty aiming 13,460, hints options data",1.0
"Sensex loses 65 points, Nifty tests 13,450; NIIT gains 5%",0.0
 Nifty down 5 points; here's what changed for market while you were sleeping,0.0
"How to trade Nifty with resistance at 13,777",0.0
"Trade Setup: 13,100-13,770 broad trading range for Nifty; avoid shorts",1.0
Tech View: Nifty chart has bullish pattern; analysts say wait & watch,1.0
"F&O: Nifty tech charts, falling VIX signal a bounceback ahead",0.0
"Day trading guide: Nifty has immediate resistance near 13,650-13,700 zone",0.0
"Sensex gains 453 points, Nifty above 13,450; Infosys surges 4%",1.0
"Sensex extends losses, falls 150 points; Nifty near 13,250",0.0
"Sensex rises 168 pts, Nifty climbs above 13,400; HCL Tech gains 2%",1.0
 Nifty up 30 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: 13,777 temporary top for Nifty; minor pullback expected",1.0
Tech view: Nifty may be up for a trend reversal; analysts await more evidence,1.0
F&O: Nifty breaks rising support trend line in weak signal for bulls,0.0
"Sensex tumbles 1,407 points, Nifty below 13,350; IndusInd Bank plunges 8%",0.0
"ETMarkets Survey: Airtel projected to be biggest Nifty winner in 2021, Bajaj Finance top laggard",1.0
"Sensex drops 150 points, Nifty trades above 13,700; India VIX surges 5%",0.0
 Nifty down 50 points; here's what changed for market while you were sleeping,0.0
"Tech View: Nifty bulls invincible, but keep an eye on 13,650 level",1.0
Nifty records 7th consecutive weekly gain as IT stocks surge,1.0
"CLSA sees Nifty at 18,800 in the long term",1.0
"Sensex ends short of 47,000 mark, Nifty50 above 13,750; Bajaj Auto rises over 2%",1.0
"Sensex rises 50 pts, Nifty above 13,750; Hind Copper jumps 5%, BEML 3%",1.0
 Nifty up 40 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Nifty susceptible to sharp and violent corrective moves, avoid shorts",0.0
"Tech View: Nifty50's momentum weakening, support seen at 13,680",0.0
"Sensex, Nifty create yet another record; ​HDFC twins top contributor",1.0
"Sensex rises 224 points, Nifty above 13,700; BEML surges 12%",1.0
These Nifty stocks hit record highs this week. Can they add to gains?,1.0
"Sensex climbs 120 points on firm global cues; Nifty above 13,700",1.0
"Sensex gains 30 pts, Nifty nears 13,700; Burger King rallies 10%, Hind Copper 5%",1.0
 Nifty down 40 points; here's what changed for market while you were sleeping,0.0
F&O strategy for moderate Nifty upside in Dec series,1.0
Trade Setup: Nifty may swing either way; volatility likely to increase,0.0
"Tech View: Nifty bulls come back roaring, eye 13,800 level",1.0
F&O: Major Nifty trends intact; VIX signals bullish undercurrent,1.0
"Sensex gains 403 pts, Nifty ends above 13,650; HDFC twins, IT stocks rally",1.0
"Day trading guide: Bank Nifty needs to break above 31,000 to regain momentum",1.0
"MFs sold 80% of Nifty stocks in Nov, but grabbed remaining 10",0.0
"Sensex rises 300 pts, Nifty above 13,650; M&M, ONGC gain 2% each",1.0
 Nifty up 55 points; here's what changed for market while you were sleeping,1.0
"Trade Setup: Overextended Nifty may find resistance at 13,600; watch Dollar Index",0.0
"Tech View: Nifty bulls defending support, but upside looks limited",0.0
Day trading guide: Nifty Media index has more room on the upside,1.0
"Sensex, Nifty end flat as investors book profit; Bajaj Finance becomes Rs 3 trillion stock",1.0
"Sensex stages 422 pts recovery, Nifty holds above 13,550; Bajaj Finance surges 5%",1.0
"Sensex falls 200 points amid profit booking; Nifty at 13,500",0.0
"Sensex loses 175 points, Nifty tests 13,500; Canara Bank drops 6%",0.0
 Nifty down 30 points; here's what changed for market while you were sleeping,0.0
Trade Setup: Nifty prone to sharp corrective bouts; volatility likely to increase,0.0
F&O: Nifty losing momentum at higher levels; VIX rises too,0.0
Tech View: Third Doji in a row on Nifty charts is bad omen,0.0
"Day trading guide: Nifty needs to sustain 13,500 level to continue northbound journey",0.0
"Sensex gains 154 pts, Nifty tops 13,550; Burger King up 131% on listing day",1.0
"Sensex, Nifty end at fresh record highs; PSU firms top gainers",1.0
"Nifty may hit 15,000 by Dec 2021: JP Morgan",1.0
Smallcap stocks may continue to beat largecaps in 2021. Here's why,1.0
Up 300% & counting! ​Nifty50’s worst performer of 2020 witnesses best rebound since March,1.0
"Sensex gains 230 points, Nifty at 13,580; ONGC jumps 3%",1.0
 Nifty up 60 points; here's what changed for market while you were sleeping,1.0
Whistle-blower plaints at Nifty cos up 17% in FY20,1.0
"Nifty may head to 13,700, enjoys support at 13,200",1.0
"Trade Setup: Nifty highly overstretched, wide-range consolidation overdue",0.0
Tech View: Back-to-back Nifty Dojis indicate loss of momentum at higher levels,0.0
"Day trading guide: Nifty might witness mild pullback if it fails to hold 13,500 level",0.0
"Sensex ends 139 points higher, Nifty above 13,500; Dish TV soars 13%",1.0
"Sensex reclaims Mt 46K, ends 139 points higher; Nifty above 13,500; ONGC gains 5%",1.0
